C0,N0,U0,S0,C1,N1,U1,S1,K1,C2,N2,U2,S2,K2,IS,FID
1,0,1,1,0,2,2,0,0,1,1,2,0,3,7.612,27.72
1,2,2,0,0,2,1,1,1,1,0,2,1,0,4.824,80.42
0,2,0,0,0,0,0,0,1,0,2,0,0,0,7.865,43.19
1,2,0,1,1,2,0,0,0,0,2,0,1,0,6.089,80.37
1,0,2,1,1,0,1,0,0,0,0,0,0,1,8.663,18.79
1,0,2,1,1,2,1,0,1,1,2,2,0,1,5.021,68.93
1,0,1,0,1,2,1,1,0,1,2,2,1,3,5.544,64.23
0,1,2,1,1,2,2,1,1,1,2,1,0,0,4.176,103.26
1,1,0,0,1,2,1,1,0,1,2,1,0,2,7.675,31.73
1,1,0,1,1,2,0,0,1,0,2,1,0,2,5.378,97.46
0,0,2,1,1,2,1,1,0,0,0,1,1,3,7.676,30.93
1,2,0,1,0,1,1,1,1,1,1,2,0,2,7.263,51.79
0,1,1,0,0,1,1,0,1,1,1,2,1,1,7.016,32.98
0,0,0,1,0,2,0,0,0,0,0,1,0,3,8.009,31.85
0,1,2,1,1,2,2,0,0,0,2,2,1,0,5.096,98.74
1,1,1,1,1,1,0,1,1,1,1,0,1,3,7.091,37.1
1,0,0,0,1,0,2,1,0,1,2,1,0,3,6.663,62.42
1,2,0,1,1,2,2,1,0,1,0,2,1,1,5.244,74.22
1,1,2,0,1,2,1,0,0,0,2,0,0,2,6.934,48.19
0,0,0,0,1,0,0,1,1,0,0,0,1,0,8.17,28.15
1,2,2,0,1,1,1,1,0,0,0,1,0,1,8.608,32.23
0,0,2,1,0,2,1,1,0,1,2,1,0,3,7.655,33.67
1,2,0,1,0,1,2,0,0,0,0,2,1,0,7.969,33.09
1,2,2,0,1,1,2,0,1,0,1,1,0,0,6.794,53.19
0,1,2,0,0,2,1,0,0,0,1,2,1,0,5.932,63.15
0,2,2,1,0,0,1,1,0,1,0,2,1,0,4.487,77.77
0,1,1,1,1,1,0,0,0,1,0,2,0,0,8.284,32.03
1,1,2,0,0,0,1,0,1,1,1,2,1,3,8.598,25.93
1,0,0,0,0,2,2,0,0,0,0,1,0,3,7.634,32.09
1,0,1,0,0,1,1,0,0,0,1,0,1,2,8.336,20.56
1,0,0,1,1,2,2,0,1,1,1,1,0,1,8.286,30.63
0,0,1,1,0,2,0,1,1,1,0,2,1,2,6.484,54.12
1,2,2,1,0,2,1,1,1,1,0,2,1,1,5.199,72.55
0,1,0,0,1,2,2,1,1,1,2,2,0,0,6.87,49.362
0,0,2,0,1,1,0,0,1,0,0,2,1,0,8.489,29.47
1,2,2,0,0,1,2,0,0,0,2,0,1,0,6.658,46.77
0,2,0,1,0,0,2,1,0,1,2,0,1,1,7.646,31.61
0,2,2,0,1,0,1,0,0,0,1,2,1,2,4.697,100.46
0,1,1,0,0,1,2,1,1,0,2,0,0,3,8.301,30.81
0,0,0,0,0,2,0,1,1,0,0,0,1,1,8.109,28.08
1,2,1,1,1,0,1,0,0,1,0,2,0,3,6.249,50.29
0,1,0,1,1,1,0,0,1,1,1,2,1,1,8.108,27.98
0,0,0,1,1,1,1,1,0,0,2,1,1,3,8.358,22.35
1,0,0,1,1,2,0,1,1,1,0,2,0,2,7.703,27.25
0,1,0,0,0,0,1,1,0,1,1,0,0,3,6.862,38.85
1,0,0,1,1,1,0,1,0,1,0,0,1,0,8.061,26.77
0,0,2,0,0,2,2,0,1,1,0,2,1,1,5.619,72.77
1,0,2,1,0,0,0,0,0,0,0,2,1,1,8.582,23.28
1,2,0,0,0,2,1,1,1,1,1,2,1,3,5.866,65.3
1,1,0,1,0,1,2,0,1,0,1,2,0,0,8.214,27.95
